Time,Race,code1,code2,raceno,run1num,run1name,run1score,run1price1,run1price2,run2num,run2name,run2score,run2price1,run2price2,run3num,run3name,run3score,run3price1,run3price2,run4num,run4name,run4score,run4price1,run4price2,status
11:48,Wagga,CR,CR,1,12,TIME OF HER LIFE,--,14.10,2.90,8,FIERY REDHEAD,2nd,6.40,1.80,9,LIKEABLE LUCY,--,1638.30,1638.30,11,STICK WITH ME,1st,10.30,2.40,PAYING
12:15,Stawell,VR,VR,1,2,DISCERN,3rd,6.00,2.10,7,ALMAVIV,2nd,8.20,2.40,8,BALLET TIME,1st,13.40,2.90,11,RALPHINA,--,6.60,2.10,PAYING
12:23,Wagga,CR,CR,2,11,SO FRENCH,2nd,7.20,2.20,13,SHE GLITTERS,--,12.20,3.80,10,PIXIE ROSE,--,9.90,2.90,8,KISS ME GOODBYE,--,3.70,1.40,PAYING
12:50,Stawell,VR,VR,2,10,GOLDEN PERFUME,2nd,4.50,1.60,4,SWNEY'S BANJO,--,65.00,8.10,1,BELORUM,1st,2.20,1.10,8,EMWOOD,--,26.00,5.80,PAYING
12:58,Wagga,CR,CR,3,2,THE REAL MCCOY,3rd,5.10,1.50,10,SENORITA ON SAFARI,--,11.40,2.10,1,FREE BILLY,1st,2.70,1.30,6,CUMULOUS CLOUD,--,5.40,1.80,PAYING
13:08,Rockhampton,QR,QR,1,1,CRAIGLEA WISE,--,2.90,1.50,4,CRAIGLEA THUNDER,--,3.10,1.90,3,CRAIGLEA ALDI,--,10.20,3.30,7,BETTY ISABEL,--,6.00,3.30,PAYING
13:28,Stawell,VR,VR,3,10,VERSACE ROSE,--,1638.30,1638.30,13,ZIZOU'S DREAM,--,13.90,3.00,4,INLET,--,20.10,3.40,11,MISSPIEL,1st,4.60,1.40,PAYING
13:43,Rockhampton,QR,QR,2,1,JEDDA'S GIRL,3rd,11.50,2.60,8,AVELLINO,1st,2.50,1.40,9,SAMARAH GIRL,2nd,5.00,1.60,5,SUNDAY SAGA,--,4.50,1.40,PAYING
13:48,Gosford,NR,NR,1,1,BARNEY RUBBLE,--,13.90,2.50,10,FINE DIAMOND,--,47.90,6.00,4,SMART OPTION,--,13.00,2.60,3,IRONHEART,--,20.20,4.00,PAYING
13:55,Pt Lincoln,AR,AR,1,1,HURRICANE ANDY,1st,1.30,1.10,8,HOT COCO,--,11.90,2.10,5,RAN WILDE,--,25.30,2.90,10,HIGHPAR,--,43.70,10.30,PAYING
