Time,Race,code1,code2,raceno,run1num,run1name,run1score,run1price1,run1price2,run2num,run2name,run2score,run2price1,run2price2,run3num,run3name,run3score,run3price1,run3price2,run4num,run4name,run4score,run4price1,run4price2,status
11:45,Albury,OR,OR,1,1,INSTANT TURF,--,3.30,1.30,5,ALICE FROM ALBURY,2nd,15.70,3.60,3,EUCHRE STAR,--,2.10,1.00,6,HEY BETTY,--,21.70,4.50,PAYING
11:55,Flemington,MR,MR,1,2,BOSNIA,2nd,1.60,1.10,7,CLAUDIA JEAN,1st,8.60,3.40,4,LUCKY FISH,--,1638.30,1638.30,6,BELLA ORFANA,--,4.00,1.90,PAYING
12:20,Kembla Grange,NR,NR,1,11,THUD,1st,1.60,1.00,4,DIALECT,--,10.40,2.70,12,ZIN ZAN ELSIE,2nd,5.70,2.30,2,BRIGHT FUTURE,3rd,24.50,4.80,PAYING
12:25,Albury,OR,OR,2,9,POCKET POWER,1st,1.80,1.10,1,ARMAEEZEY,3rd,7.60,1.80,2,BIANEXPRESS,--,10.80,2.50,5,MASTER ME,--,32.60,5.30,PAYING
12:30,Flemington,MR,MR,2,1,SWING WITH ME,--,5.20,1.90,2,THE SECRET,--,14.90,4.00,11,POUVOIR,--,6.30,2.50,10,PINK PERFECTION,1st,5.80,2.00,PAYING
12:37,Morphettville,AR,AR,1,3,SPARKLING VIXEN,--,4.20,2.00,2,NORDIC ECLIPSE,1st,5.70,2.50,1,CLAIR,2nd,2.40,1.20,6,CHAMBRAY,--,33.10,8.50,PAYING
12:45,Rosehill,SR,SR,2,8,KAEPERNICK,--,1.80,1.10,11,SNITZLER,--,23.70,3.90,5,CONARCHIE,--,61.80,9.70,6,I AM IMPRESSED,--,8.90,2.50,PAYING
13:00,Kembla Grange,NR,NR,2,6,CARVER,1st,3.80,1.30,10,EIGHTYEIGHT CARAT,3rd,9.30,2.10,14,PROMAS,2nd,2.20,1.30,11,JALAURABEL,--,72.30,12.60,PAYING
13:05,Flemington,MR,MR,3,3,ROUNDABOUT,3rd,1.70,1.10,2,BASCULE,1st,4.80,1.60,4,INKULU,--,1638.30,1638.30,7,MAGNAZONE,--,33.60,6.20,PAYING
13:08,Albury,OR,OR,3,6,KAMIYA,1st,15.50,3.10,10,SOLAR FLARE,--,40.20,6.30,3,FRISKY CRUISER,2nd,2.20,1.20,2,TANGAMBALANGA,--,8.80,2.30,PAYING
